frame	cav_1	cav_2	cav_3	cav_4	cav_5	cav_6	cav_7	cav_8	cav_9	cav_10	cav_11	cav_12	cav_13	cav_14	cav_15	cav_16	cav_17	cav_18	cav_19	cav_20	cav_21	cav_22	cav_23	cav_24	cav_25	cav_26	cav_27	cav_28	cav_29	cav_30	cav_31	cav_32	cav_33	cav_34	cav_35	cav_36	cav_37	cav_38	cav_39	cav_40	cav_41	cav_42	cav_43	cav_44	cav_45	cav_46	cav_47	cav_48	cav_49	cav_50	cav_51	cav_52	cav_53	cav_54	cav_55	cav_56	cav_57	cav_58	cav_59	cav_60	cav_61	cav_62	cav_63	cav_64	cav_65	cav_66	cav_67	cav_68	cav_69	cav_70	cav_71	cav_73	cav_74	cav_75	cav_76	cav_77	cav_78	cav_79	cav_80	cav_81	cav_82	cav_83	cav_84	cav_85	cav_86	cav_87	cav_88	cav_89	cav_90	cav_91	cav_92	cav_93	cav_94	cav_95	cav_96	cav_97	cav_98	cav_99	cav_100	cav_101	cav_102	cav_103	cav_104	cav_105	cav_106	cav_107	cav_108	cav_109	cav_110	cav_111	cav_112	cav_113	cav_114	cav_115	cav_116	cav_117	cav_118	cav_119	cav_120	cav_121	cav_122	cav_123	cav_124	cav_125	cav_126	cav_127	cav_128	cav_129	cav_130	cav_131	cav_132	cav_133	cav_134	cav_135	cav_136	cav_137	cav_138	cav_139	cav_140	cav_141	cav_142	cav_143	cav_144	cav_145	cav_146	cav_147	cav_148	cav_149	cav_150	cav_151	cav_152	cav_153	cav_154	cav_155	cav_156	cav_157	cav_158	cav_159	cav_160	cav_161	cav_162	cav_163	cav_164	cav_165	cav_166	cav_167	cav_168	cav_169	cav_170	cav_171	cav_172	cav_173	cav_174	cav_175	cav_176	cav_177	cav_178	cav_179	cav_180	cav_181	cav_182	cav_183	cav_184	cav_185	cav_186	cav_187	cav_188	cav_189	cav_190	cav_191	cav_192	cav_193	cav_194	cav_195	cav_196	cav_197	cav_198	cav_199	cav_200	cav_201	cav_202	cav_203	cav_204	cav_205	cav_206	cav_207	cav_208	cav_209	cav_210	cav_211	cav_212	cav_213	cav_214	cav_215	cav_216	cav_217	cav_218	cav_219	cav_220	cav_221	cav_222	cav_223	cav_224	cav_225	cav_226	cav_227	cav_228	cav_229	cav_230	cav_231	cav_232	cav_233	cav_234	cav_235	cav_236	cav_237	cav_238	cav_239	cav_240	cav_241	cav_242	cav_243	cav_244	cav_245	cav_246	cav_247	cav_248	cav_249	cav_250	cav_251	cav_252	cav_253	cav_254	cav_255	sum
11	260.62	0	149.62	0	0	31.12	86.75	0	0	0	0	0	37.62	0	0	0	15	0	0	99	0	0	0	221.75	0	61.62	34.38	0	76.12	39.75	21.75	19.75	0	0	0	80.75	0	0	14	0	0	0	0	58.12	0	22.5	0	55	15	20.88	41.25	0	0	0	60.88	0	0	95.12	0	49.5	0	30.38	0	96.62	49	0	66.5	90.25	0	0	0	462.38	0	0	18.12	0	0	53.75	42	0	198	227.75	29.12	0	0	0	0	0	0	54.88	141.25	30.75	0	26.5	0	0	39.5	0	19.25	0	0	38.5	0	87.62	728	0	0	0	0	14.12	26	73.75	0	0	34.62	0	0	0	18.25	20.62	0	101.5	0	0	19.12	0	27.62	53.38	0	0	13.88	43.88	86.12	0	90.12	0	0	26.12	0	12.75	0	0	0	584.62	31.62	0	14.12	54.62	35	0	0	0	0	0	0	0	0	56.88	0	0	13.12	0	0	18.38	285.75	0	191.12	14.62	0	22.12	14	0	89	0	0	0	0	0	0	75.38	34.88	37.88	0	21.75	614.88	0	0	20.88	0	0	386.38	0	0	0	0	0	0	0	0	111.5	30	14.25	0	0	18.38	38	0	0	432.25	74.75	0	0	102.62	0	51.12	38.5	0	0	51.25	68.62	13.88	0	241.38	22.12	0	12.75	0	0	0	116.38	0	229.12	99.75	478.25	46.12	0	14.75	51.75	20.25	24.38	584.62	0	0	0	0	0	0	47.75	14	38.12	18.12	53.12	0	34	11499.38
12	296.38	0	176.88	0	0	30.5	93.5	0	0	0	0	0	44	0	0	0	12.75	14.12	0	94.38	0	0	0	242.5	0	63.62	41.88	0	85.75	40.62	0	30.12	0	0	0	99.38	0	0	0	0	0	0	38.88	38.75	0	22.38	0	61.38	12.75	12.75	40.25	0	0	0	113.12	0	0	89.5	0	51.5	0	29.75	0	99.5	40	0	64.62	0	0	0	0	421.88	0	0	0	0	0	40.25	44.62	0	214.5	171.62	31.75	0	0	0	18.12	0	0	59.12	108.75	35.25	0	26.5	14.75	0	36.38	0	17.25	0	0	21.62	0	73.62	736.25	0	14.5	0	0	19.5	23.88	69.12	0	0	14.75	0	0	18.62	21.5	28.75	0	81.25	0	0	21.88	0	60.5	51.38	0	0	12.62	43.5	42.62	0	65.12	0	0	25.38	0	0	0	0	0	532	33.12	17	0	61.88	27.88	0	0	0	0	14	0	0	12.62	87	0	0	0	12.75	12.75	17.25	279.75	0	190	19.38	0	18.88	16.88	0	103.38	12.75	0	0	0	0	0	0	0	40.5	12.75	20.62	619.12	0	0	0	0	0	385.38	14	0	0	0	0	0	0	0	118.62	25.62	0	0	0	0	55	0	0	429.88	60.12	0	0	81.38	0	50.62	42.62	0	0	57.38	74	72.75	0	207.88	42.88	0	0	0	0	0	118.25	0	214.5	105.25	477.38	48.75	0	14.75	41.88	17.75	28.88	550.75	14	0	0	0	12.75	0	48.5	0	35.12	14.62	49	0	44.38	20251.38
13	323	0	206.62	0	0	46.62	102.62	12.75	0	0	0	0	38	0	0	12.75	14.75	0	0	110.25	0	0	0	241.75	0	73.75	47	0	80	36.62	0	24.25	0	0	0	110.88	0	0	20.5	0	0	0	44.62	36.25	0	22.88	0	97.88	43.5	12.75	40.88	0	14.62	12.62	149.12	0	0	72.62	0	113	0	26	0	130.5	22.12	19.12	58.75	0	0	12.62	0	407.5	0	0	24.25	0	0	0	46.88	0	238.5	150.25	32	0	0	0	28.88	0	0	81.12	123.38	35.25	0	16	43.38	0	41.25	0	24.38	0	0	15.38	0	84	721.25	0	20.62	0	0	0	25.5	0	0	0	20	0	0	15.75	45.25	29.38	0	63.25	12.75	0	25.38	0	70	50.75	0	0	0	34.88	64.38	0	65.75	0	0	31.75	0	0	0	0	0	522.75	31.5	0	0	60.62	24.75	0	0	0	0	22	0	0	0	108.88	0	0	0	0	28.12	29	286.75	0	169.75	0	0	23.75	20	0	113.62	0	0	0	0	0	0	0	0	37.5	19.5	20.38	643.88	0	0	0	0	0	361.38	0	0	0	0	0	0	0	15	122.62	24.5	0	0	0	0	39.25	0	0	444	76	0	0	66.38	0	47.62	62.12	0	0	51.62	72.75	102.5	0	186.38	16.25	0	0	0	12.75	0	155.62	0	227.25	100.12	541.88	66.12	0	16.12	39.38	28.88	22.75	488.88	14	0	0	0	16.62	0	45.62	0	51	12.75	22.12	0	40.12	20778.5
14	300.25	0	249.75	0	0	50	119	12.75	0	0	0	0	23.25	0	0	0	0	0	0	110.12	0	0	0	177.88	0	91.5	49.88	0	93.12	30.25	0	20.88	0	0	0	138.62	0	0	58.75	0	0	0	70	12.5	0	16	0	83.25	86.88	12.75	28.12	0	24.88	0	146.5	0	0	60.62	0	130.38	0	15.38	0	115.12	20.12	0	58.5	83.12	0	14	0	428.25	0	0	15	0	0	63	42.62	0	219.38	128.25	23	23	0	0	45.12	0	0	50.62	108.12	34.88	0	0	59	0	83.75	0	20.75	0	0	0	0	76.12	223.62	0	27.75	0	0	0	26.62	0	0	0	18.88	0	0	0	48.12	26.75	0	14.75	12.75	0	22.12	0	89.62	68.38	0	0	12.75	26.25	72.25	0	79.62	0	0	26.75	0	0	19.25	0	0	505.12	29.88	19.62	0	62.75	61.5	0	0	0	0	21	0	0	0	114.25	0	0	0	0	28.5	68	286.88	0	173.38	0	0	13.5	23.62	0	113.38	0	0	0	0	0	26.5	32.12	58.12	41.62	0	14	604.25	0	0	0	0	0	354.12	0	0	0	0	0	15.5	0	16.12	131.62	28.88	0	0	0	34.38	0	0	0	416.88	90.88	0	0	29.12	0	51.88	66	0	0	37.62	73.5	121.62	0	178.75	13.88	0	0	0	12.75	0	71.12	0	238.62	98.62	537.75	55.75	0	0	48	80	21.25	470.75	0	0	0	0	12.75	0	32.88	0	46.5	0	23.25	0	30.25	11349.12
15	284.25	0	242.75	0	0	21	161.62	19.12	0	0	0	0	14	0	0	0	22.75	20.12	13.25	120.88	0	0	0	164.62	0	67.88	57	0	103.25	40.38	0	21	0	0	0	152.75	0	0	33.62	0	0	0	76.12	0	0	0	0	74.12	115.62	0	0	0	26.62	20.5	105.38	0	0	55.62	0	143.25	12.25	12.75	0	146.75	24.38	49	46.5	70.75	0	0	0	429.88	0	81.75	16.62	0	0	48.62	36.12	0	228.12	85.88	13.75	17.75	0	0	49.75	0	0	44.5	117.5	33.88	0	0	60	0	95.12	0	18.88	0	0	15.88	0	69.88	0	0	14.88	0	0	0	23.75	0	0	0	16.62	0	0	0	47.5	28.38	0	0	12.75	0	24.62	0	121.75	68.12	0	0	0	35	71.5	22.5	84.62	0	0	27.25	0	0	28.62	13.75	0	464.88	26.12	14.75	0	69.25	78.5	0	0	0	0	15	0	0	0	124.12	0	0	0	23.88	47.38	97.38	263.75	0	184.25	13.12	0	16	0	16.62	118	0	0	0	0	0	0	25.75	70	57.75	0	0	562.25	0	0	0	0	0	230.75	14	0	0	0	50.38	35.88	0	0	152.25	34.38	0	0	0	0	0	0	28.88	448.12	97.5	0	0	38.88	0	64.12	68.38	0	0	37.25	142.75	152.38	12.62	174.25	17.38	0	0	0	0	35	62.62	0	251	100.12	534	57	0	0	47.62	61.38	12.75	440.62	22	0	0	0	14	0	15.88	0	32.12	0	28.75	0	0	11322.75
16	242	0	239	0	0	33.62	169.75	22	0	0	0	0	0	0	0	0	24.75	0	0	142.5	0	0	0	159.88	0	0	64.62	0	106.12	46.38	0	28.88	0	0	0	141.12	0	0	77.88	0	0	0	75.75	0	14.75	0	0	105	103.25	14	0	0	24.5	12.75	101.88	0	0	14.88	0	109.75	24.62	14	0	103.75	25.5	56.38	42.38	38.88	0	0	0	413.88	0	135.75	26	0	0	47.38	37.25	0	208.25	25.5	0	20.88	0	0	57.62	0	37.5	37	123.12	32.12	0	0	23.88	0	104.38	0	16.62	0	0	28.38	0	65.25	0	0	0	0	0	0	22.25	0	0	0	21.12	0	0	0	70.12	27	0	0	0	0	27	0	152	84.62	0	0	0	32.5	117.25	21.62	82.25	0	0	29.88	0	0	47	24.5	0	411	29.5	15	0	78.5	105.75	0	0	0	0	0	0	0	0	216.38	0	0	0	33.75	40.62	102.12	250.75	0	175.75	20.38	0	16.75	12.5	0	102.38	0	0	18.75	0	0	53.62	12.12	94	71.25	0	0	502.75	0	0	0	0	0	150.5	0	0	0	0	0	0	0	15	129.75	36.38	0	0	0	12.5	0	0	26.5	445.62	87	0	0	80.62	0	87.88	89.5	0	0	14.5	205.75	142.38	12.75	185.62	27.5	0	16.62	0	14	79.5	39.75	0	248	91.5	483.5	76.75	12.75	0	53.62	51.12	12.75	383.75	42.62	0	0	0	24	0	0	12.75	36.38	0	21	0	0	20224.12
17	250.38	0	224	0	0	60.88	193.62	25.5	0	0	0	0	0	0	0	0	0	15.12	0	122.5	12.75	0	0	185.12	0	0	70.5	0	96.62	22.62	0	27.88	0	0	0	108.25	0	0	51.25	0	0	0	84.12	0	14.75	0	0	113.38	79.75	16.12	0	0	0	0	106.88	0	14	0	0	99.62	0	0	0	127.62	32.75	55	38.25	84.12	0	0	0	379.25	0	133.38	35	0	0	53.25	36.12	0	193.88	17.62	0	17.62	0	0	56.5	0	30.62	0	147	29.38	0	0	0	0	91.25	0	27	0	0	33	0	63	0	12.88	0	0	0	0	17.88	0	0	0	21.12	0	0	0	60.25	17.25	0	0	0	0	23.75	0	175.75	75	0	0	15.75	32.25	101.25	21.38	91	0	0	27.38	0	0	48	75.12	0	321.38	31.5	15	0	59.88	91.25	0	0	0	0	0	0	0	47.25	257.12	0	0	0	28.12	44.62	108.62	240.5	0	168.88	19.38	0	22.5	15.12	0	100	0	0	0	0	0	60.75	0	84.38	74.75	0	0	465.25	0	0	0	0	0	177.88	17.38	0	0	0	63.88	19.88	0	0	125.62	51.88	0	0	0	0	0	0	32.25	465.12	76.75	0	0	64.12	0	99.38	119	0	0	12.88	217.25	112	12.62	173.75	40.25	0	12.62	0	16.12	75.88	56.62	0	240.75	94.5	478.12	85	0	0	54.12	50.5	0	382.5	30.62	0	0	0	21.88	0	0	12.75	36.75	0	19.5	0	0	11131.62
18	192.25	0	217.75	0	0	63.88	214.75	23.75	0	0	0	0	0	0	0	0	0	25.38	0	108.25	15	0	0	180.62	0	0	101.12	0	104.38	30	0	15.75	21.5	0	0	0	18.12	0	50.62	0	0	0	59.75	0	0	0	0	120.38	73.75	12.75	0	0	0	17.38	80.75	0	0	0	0	113.75	26	0	0	142	35.12	56.38	25.88	87.75	0	0	0	361.88	0	175.25	61.38	0	0	69.38	34.62	0	307.88	0	0	18.25	0	0	62.5	0	21.75	0	147.5	46.75	0	0	0	0	83.12	0	24.25	0	0	23.25	0	42.25	0	15.5	14.75	0	0	0	0	0	22.12	0	25.25	0	0	0	58	16.12	0	0	0	0	25.25	0	147.88	71.62	0	0	18.38	38.38	124.62	18.12	100.75	0	0	31.62	0	0	48.75	0	0	218.75	37.25	24.5	0	36.25	95.12	0	0	0	0	0	0	0	38.5	339.88	0	0	0	15	36	113.88	241.88	0	177.75	26.75	0	32.62	0	0	93.5	0	0	0	0	0	50.25	17.5	54.12	57.62	0	0	407.5	0	0	0	0	0	62.5	0	0	0	12.25	38.12	25.62	0	14	134.62	57.88	12	0	0	14	0	0	30.38	449.75	57	0	0	38.62	0	107.88	158.62	0	0	0	270.75	101.5	18.75	152.38	40.88	0	0	0	22.88	63.38	73.38	0	242	90.88	506	73.88	0	0	67.25	42.88	0	356	29.75	0	36.75	0	14	0	0	12.75	29.38	0	22.12	0	0	10917.75
19	140.5	0	261.75	0	0	68	222.25	103.75	0	12.75	35.12	0	0	0	0	0	0	17.25	0	100.12	0	0	0	166	0	0	101.25	0	121.5	43	0	0	25.12	0	0	0	26.38	0	51.25	0	0	0	32	0	14.75	0	0	110.75	75.12	0	0	0	0	0	0	0	0	0	0	155.12	27.25	0	0	141.75	48.62	52.38	13.88	83.38	0	0	0	276.25	0	109.38	76.38	0	0	51.88	38.62	0	296.5	0	0	16.62	0	0	67.5	0	48.88	0	128.75	53.88	0	0	0	0	81	0	16.38	0	0	25.5	0	42.5	0	17	26.88	0	0	0	0	0	29	0	32.25	0	0	0	61.38	0	0	18.25	0	0	20.25	0	105	76.5	0	0	14	39	138	14.88	130.5	0	0	27.5	0	0	15	0	0	168	40.25	20.25	0	47.5	91.25	0	0	0	0	0	0	0	22.38	363.5	0	0	0	12.75	25.25	128.88	244.75	0	167.88	18.75	0	33.5	0	17.88	60.5	0	0	0	0	0	72.75	0	24.88	42.75	0	0	381	0	0	0	0	0	58.5	0	0	0	15.38	30.12	13.38	0	12.75	138.12	57	14.25	0	0	0	0	0	25.25	426.88	54.62	0	0	31.12	0	122.88	173	0	0	0	364.88	117	15.38	168.88	64.25	21.38	0	0	14	62.75	118.62	0	242.75	84.5	467.88	75.5	15	0	71.88	40.38	0	305	32.12	0	37.75	0	14	0	0	12.75	38.88	25.88	22.25	0	0	10211.88
20	85.5	0	273.75	0	0	82.75	191.75	72.75	0	17.62	53.12	0	0	0	0	0	0	15.25	0	103.38	0	0	0	124.75	0	0	108.62	0	127.12	57.5	12.75	22.75	30.62	0	16.5	0	22.38	0	52.12	0	0	0	33.5	0	14.75	14.75	0	124.88	64.25	0	0	0	0	29.12	0	0	0	0	0	123.75	28.25	0	0	158.88	49.75	48.12	14	73.62	0	0	0	273.75	0	76.88	90.38	0	0	84	50.88	0	263.25	0	0	0	0	0	83.5	13.62	64	0	108.75	37.12	0	0	0	0	94.12	0	15.62	0	0	0	19.5	37.5	0	36.5	24.75	0	16.12	0	0	0	55.5	0	36.12	0	0	0	56.88	0	0	12.75	0	0	0	0	103.12	101.12	12.12	0	0	34.25	183.75	12.62	153.25	0	0	27.25	0	0	0	0	0	128.38	52	16.5	0	45.12	93.88	0	0	0	0	0	0	0	0	343	0	0	0	0	20.38	144.25	246.5	0	183.12	23.62	0	39.12	0	0	56.12	0	0	0	0	0	83.12	0	0	40.62	0	0	321	0	0	0	16.62	17	72	0	0	0	0	13	0	0	25.5	147.12	65.25	17.5	0	0	0	0	0	18.38	420.25	28.38	0	0	30.25	0	131	190.25	0	0	0	425.38	97.88	0	171.5	83.75	16	0	0	0	57.62	151.38	0	233.38	82	446.38	80.38	0	0	80	23.25	0	284.88	12.62	0	47.75	0	14	0	0	18.25	32	38	17.12	0	0	10160
21	68.25	0	290	0	0	81.75	150.62	15	0	23.25	52.88	0	0	0	0	0	0	14.25	0	99.88	0	18.75	12.75	92.75	0	0	132.25	0	140.5	51.5	12.75	27.62	30.38	0	22.88	0	23.25	0	52.88	0	0	0	15.38	0	21.12	14	0	128.12	69.62	0	0	0	0	62.88	0	0	0	0	0	119	45.12	0	0	154.5	70.75	50.88	0	40.5	0	0	0	244.25	0	79.75	100.62	0	0	120.75	59.25	0	235.75	0	0	0	16	0	80.5	42.12	41.12	19.12	89.38	19.38	0	0	0	0	93	35.12	18.88	0	0	0	19.38	28	0	41.62	71.75	0	28.62	0	0	0	40.88	0	38.62	18.38	0	0	35	0	16.12	12.75	0	15.62	0	0	114.38	67.25	15.75	0	0	28.25	209	17	161.38	0	0	27.75	0	0	0	0	0	118.5	64.25	0	0	42.88	132.88	0	0	0	0	0	0	0	0	269.75	0	0	0	15.38	33.25	155	247.75	12.75	198.62	33.38	0	44.12	35	0	49.12	12.75	0	0	0	0	182.5	0	0	33.62	0	0	295.5	0	0	0	24.38	14.75	63.88	0	0	0	12.5	15.5	14	0	58.38	153.5	81	41.38	0	0	0	12	0	0	334.62	24.5	0	0	26.38	0	123.12	197.12	0	0	0	413.25	79.25	0	115.75	97.38	15	0	0	0	59.88	141.5	0	227	82.75	457.5	82.5	14.75	0	81.88	19.5	0	279.38	14	0	37.25	0	0	0	0	20.62	31.75	32.25	32.12	0	0	10223.62
22	56.5	0	270.62	0	12.75	78.88	135.88	0	0	18.12	58.75	0	0	0	0	0	0	12.88	0	106.75	12.75	0	0	83.62	0	0	134.5	0	141	53.88	19.25	28.5	30.75	14	25.88	0	21	0	46.88	23.38	0	0	17.62	0	22.5	17.88	0	137.75	66.62	0	0	0	0	76.38	0	0	0	20.75	0	112.38	49.5	14	0	127.75	106	39.75	0	30.25	0	0	0	220.88	0	83.62	125.75	0	0	129.25	61.75	0	248.62	0	0	0	0	0	74.75	50.5	45.62	19.12	67.88	0	0	0	13.75	0	97	26.62	23	0	0	0	20.5	16.12	0	45.12	78.38	0	49.25	0	0	13.75	43.75	0	29.88	20.5	0	0	31.12	0	15.5	0	0	22.38	0	0	114.88	76	15.25	0	0	27	252	19.25	165.62	0	0	25	0	0	0	0	0	117.12	72.12	18.38	0	45.38	120.5	0	0	0	0	0	0	0	0	209.75	0	0	0	14	46.25	163.5	267.88	16.12	214.12	37	0	43	16	0	55.75	0	0	0	0	0	268.12	0	0	29.38	0	0	275	0	0	0	30.25	25.62	31.38	0	0	0	14.5	15	0	0	85.5	147.5	69.25	26.12	0	0	0	14.75	0	0	345.75	27	0	0	28	0	134.5	192.75	0	0	0	399.25	44	0	148.25	114.88	15	0	0	0	60.88	131.88	0	217.88	61.38	455.38	64.5	0	0	82.38	12.75	0	260	17	0	29.12	0	0	0	0	23.38	29	22.75	26.38	0	0	10205.75
23	51.88	0	285	0	15	78.38	131	0	0	0	53.88	0	22.25	0	0	18.75	0	12.88	0	135.12	15.62	0	16.12	95.38	0	0	139.5	14	142.25	54.12	19.25	49.5	33.25	0	26.25	0	19.75	0	43.5	25.75	0	0	15	0	30.12	14	0	133.5	56.5	0	0	0	0	70	0	0	0	20.38	0	111	52.75	0	0	103.88	119.88	35.12	0	19.88	0	0	12.12	247.12	0	85.38	97.25	0	0	116.88	62.12	0	248.25	0	0	0	12.12	0	41.5	58.88	42.88	18.12	65.88	0	31	0	0	0	94.88	29.62	20.62	0	0	0	23.62	16.5	0	53	91.12	12.62	48.12	0	0	21.5	59.62	0	24	18.25	0	0	31.12	0	12.62	0	0	26	0	0	109.88	61.75	19.88	0	0	32.62	242.62	26.5	168.88	0	12.88	23.88	0	0	0	0	0	120.75	73.38	30.38	0	37	133.88	0	0	0	0	0	0	15.75	0	216.75	0	0	0	0	48	161.75	286.25	18.38	213.88	0	15	35.75	0	0	68.75	0	0	0	0	0	288.88	0	0	32.75	0	0	276.12	0	0	0	20.5	0	28	0	0	0	16.38	12.62	0	0	93.62	142.75	74	27.75	0	0	0	16.5	0	0	329	26.25	0	0	35.62	0	129.62	192.88	0	0	0	402	44.5	0	149.12	125.5	15	0	0	0	59.25	128	0	188.12	63.88	458.25	60.62	0	0	88.62	0	0	254.12	18.12	0	18.75	0	0	0	0	24	28.25	0	24.25	0	0	10232.12
24	51.88	0	285	0	15	78.38	131	0	0	0	53.88	0	22.25	0	0	18.75	0	12.88	0	135.12	15.62	0	16.12	95.38	0	0	139.5	14	142.25	54.12	19.25	49.5	33.25	0	26.25	0	19.75	0	43.5	25.75	0	0	15	0	30.12	14	0	133.5	56.5	0	0	0	0	70	0	0	0	20.38	0	111	52.75	0	0	103.88	119.88	35.12	0	19.88	0	0	12.12	247.12	0	85.38	97.25	0	0	116.88	62.12	0	248.25	0	0	0	12.12	0	41.5	58.88	42.88	18.12	65.88	0	31	0	0	0	94.88	29.62	20.62	0	0	0	23.62	16.5	0	53	91.12	12.62	48.12	0	0	21.5	59.62	0	24	18.25	0	0	31.12	0	12.62	0	0	26	0	0	109.88	61.75	19.88	0	0	32.62	242.62	26.5	168.88	0	12.88	23.88	0	0	0	0	0	120.75	73.38	30.38	0	37	133.88	0	0	0	0	0	0	15.75	0	216.75	0	0	0	0	48	161.75	286.25	18.38	213.88	0	15	35.75	0	0	68.75	0	0	0	0	0	288.88	0	0	32.75	0	0	276.12	0	0	0	20.5	0	28	0	0	0	16.38	12.62	0	0	93.62	142.75	74	27.75	0	0	0	16.5	0	0	329	26.25	0	0	35.62	0	129.62	192.88	0	0	0	402	44.5	0	149.12	125.5	15	0	0	0	59.25	128	0	188.12	63.88	458.25	60.62	0	0	88.62	0	0	254.12	18.12	0	18.75	0	0	0	0	24	28.25	0	24.25	0	0	10232.12
25	70.5	0	281.5	0	12.75	78.88	118.12	0	0	16.25	50.25	0	0	0	0	0	0	0	0	106.12	12.75	0	12.75	94.12	0	0	136	0	104	37.88	18.75	54.5	31.25	0	17	0	35.62	0	42.12	21.88	0	0	15.38	0	21.25	17.88	0	125.5	64.5	0	0	12.62	0	71.62	0	0	0	17.75	0	118.38	61.25	0	0	125.25	113.88	48.88	0	22.75	0	0	14.12	256.12	0	78.12	130.12	0	0	128.75	59.12	0	238.88	0	0	0	0	0	73.25	63.62	43.5	19.25	58.12	19.12	0	0	0	0	93.5	30.25	22.38	0	0	12.62	22.62	20	0	42.25	79.12	0	33.12	0	0	38	31.62	0	25.88	17	0	0	35.12	0	0	0	0	27.38	0	0	94.5	100.88	15.12	0	0	44.88	257.12	18.12	181	0	0	24.5	0	0	0	0	0	121.38	74.75	18.38	0	12.75	119.75	0	0	0	0	0	0	13	0	261	0	0	0	0	43	170.88	273.25	0	205.75	40	0	44.5	0	0	52.5	14	0	0	0	0	247.5	0	0	37.25	0	0	286.75	0	0	0	19.62	0	48.25	0	0	0	14.12	0	0	0	91.62	136.38	80.75	39.62	0	0	0	16.25	0	0	417.5	27.88	0	0	31.75	0	120.75	192.12	0	0	0	386.25	47.25	0	155.25	117.38	12.75	0	0	0	57.62	132.12	0	228	53.88	388.75	84.88	0	0	77.25	0	0	281.12	17.62	0	22.12	0	0	0	0	24	33.75	31.62	30.38	0	0	10289.25
26	79.25	0	294.5	0	16.88	71.5	113.12	12.75	0	15.88	47.75	0	0	0	0	0	0	0	0	124.25	0	18.62	0	112.5	0	0	134.88	0	97.62	48.38	0	48.5	30.62	0	16	0	18	0	33.88	13.75	0	0	0	0	0	22.25	0	107.5	45	0	0	77.12	0	66.25	0	0	0	0	0	114.88	55.5	0	0	142	79	55.12	0	61.12	0	0	18.88	283.25	0	73.38	79.12	0	0	125.5	42.5	0	243.12	0	0	0	0	0	96.62	29.5	41.25	17.25	51.75	26.12	0	0	0	0	96.62	28.88	21.5	0	0	0	40.75	59.75	0	31.12	88.88	0	24.25	0	0	0	27.12	23.75	24.38	20.38	0	0	45.88	0	0	16.62	0	30.62	0	0	104.75	60	15.5	0	0	30.5	234.38	12.75	193.25	0	0	22.12	0	0	13.12	0	0	132.25	61.25	0	0	18.62	112.75	0	0	0	0	0	0	0	0	214.62	0	0	0	0	0	158.5	269.5	0	226.12	30.5	0	45.75	0	0	55.88	0	0	0	0	0	219	0	0	23.88	0	0	306.12	0	0	0	16.12	0	29.62	0	0	0	0	0	22	0	85.62	133.5	87.25	44.25	0	0	0	14.75	0	14.88	394.88	25.25	0	0	15.5	0	126.38	198.88	0	0	0	385.38	64.25	0	214.62	109.25	18.62	0	0	0	44.38	124.62	0	246.75	66.25	393	110.12	0	0	70.75	0	0	302.62	51.25	0	27.88	0	0	0	0	22.75	30.5	34.5	37.25	0	0	10213.25
27	128.25	0	312.38	0	16.62	69.5	139	44.88	0	19.12	44.75	0	0	0	0	0	0	12.25	0	111.88	18.75	0	0	350	0	0	133.88	0	95.38	43	0	82	23.88	0	17	0	0	0	35.62	0	0	0	0	0	0	24.5	0	112.12	37.12	0	0	88.75	0	54.62	0	0	0	0	0	112.12	46.38	0	0	145.88	69.25	57.12	15	67.12	0	29.5	16.25	390.12	0	69	68.62	0	0	100.88	45.25	0	252.12	0	0	12.75	0	0	68.38	14.12	35	0	43.62	31.25	0	0	0	0	93.62	29.62	17.12	0	0	0	94.12	67.12	0	25.38	34.25	0	12.75	0	0	0	27.25	25.25	24.12	17	0	0	12.75	0	0	27.75	15	31.25	0	0	92	69	0	0	0	34	229.88	12.5	190.5	0	0	23.25	0	0	31.5	0	0	135.88	67.5	0	0	18.12	36.38	0	0	0	0	0	0	0	21.62	300.38	0	0	0	0	0	145.62	264.25	0	198.75	21	0	51.12	0	0	75.25	16.38	0	0	0	0	159.25	0	0	40.12	0	0	339.12	0	0	0	0	0	33.75	0	0	0	0	0	36.5	0	75.25	123.38	83.88	19.75	0	0	0	35.88	0	32.75	424.75	23.88	0	0	0	0	127.62	184	0	0	0	366	81.88	0	208.5	73	0	12.75	0	0	31.12	113.62	0	261.88	82	387.25	128.25	0	0	63.88	14	16	332.75	70.25	0	26	0	0	0	0	15	30.12	37.38	39.88	0	0	10710.75
